timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698846567017,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846568020,93347,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846568021,2736,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846568022,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846569027,93343,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846569027,2988,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846569027,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846570033,93349,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846570041,2496,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846570047,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846571055,93354,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846571055,3250,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846571055,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846572062,93359,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846572063,5479,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846572063,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846573071,93317,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846573072,3109,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846573072,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846574079,93302,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846574081,7142,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846574081,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846575090,93288,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846575091,2988,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846575092,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846576098,93291,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846576100,3132,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846576101,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846577107,93300,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846577107,4720,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846577107,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846578113,93309,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846578113,7107,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846578113,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846579118,93311,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846579119,3233,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846579119,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846580122,93311,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
